processed,target
timestamp failed at play go sc cloud init static ip timestamp task gos customization failed fatal localhost failed vm static ip v4 address is ip address expected ip v4 address is ip address vm static ip v4 gateway is ip address expected ip v4 gateway is ip address,product
timestamp failed at play nvme disk hot extend spec number timestamp task check disk size after hot extend task path home worker workspace ansible windows server lts c main lsi logic sas efi ansible vsphere gos validation windows v hba hot add remove hot extend disk test yml number fatal localhost failed got disk size number gb in guest os after hot extend to number gb,product
timestamp failed at play nvme disk hot extend spec number timestamp task check disk size after hot extend task path home worker workspace ansible windows number main para virtual vmxnet number efi ansible vsphere gos validation windows v hba hot add remove hot extend disk test yml number fatal localhost failed got disk size number gb in guest os after hot extend to number gb,product
timestamp failed at play nvme disk hot extend spec number timestamp task check disk size after hot extend task path home worker workspace ansible windows server lts c main para virtual vmxnet number bios ansible vsphere gos validation windows v hba hot add remove hot extend disk test yml number fatal localhost failed got disk size number gb in guest os after hot extend to number gb,product
timestamp failed at play nvme disk hot extend spec number timestamp task check disk size after hot extend task path home worker workspace ansible windows server lts c nvme efi ansible vsphere gos validation windows v hba hot add remove hot extend disk test yml number fatal localhost failed got disk size number gb in guest os after hot extend to number gb,product
timestamp failed at play nvme disk hot extend spec number timestamp task check disk size after hot extend task path home worker workspace ansible windows server lts c para virtual efi ansible vsphere gos validation windows v hba hot add remove hot extend disk test yml number fatal localhost failed got disk size number gb in guest os after hot extend to number gb,product
timestamp failed at play nvme disk hot extend spec number timestamp task check disk size after hot extend task path home worker workspace ansible windows server lts c lsi logic sas bios ansible vsphere gos validation windows v hba hot add remove hot extend disk test yml number fatal localhost failed got disk size number gb in guest os after hot extend to number gb,product
timestamp failed at play nvme disk hot extend spec number timestamp task check disk size after hot extend task path home worker workspace ansible windows server lts c main nvme bios ansible vsphere gos validation windows v hba hot add remove hot extend disk test yml number fatal localhost failed got disk size number gb in guest os after hot extend to number gb,product
timestamp failed at play nvme disk hot extend spec number timestamp task check disk size after hot extend task path home worker workspace ansible cycle windows server number number ansible vsphere gos validation windows v hba hot add remove hot extend disk test yml number fatal localhost failed got disk size number gb in guest os after hot extend to number gb,product
timestamp failed at play nvme disk hot extend spec number timestamp task check disk size after hot extend task path home worker workspace ansible cycle windows number number ansible vsphere gos validation windows v hba hot add remove hot extend disk test yml number fatal localhost failed got disk size number gb in guest os after hot extend to number gb,product
timestamp failed at play nvme disk hot extend spec number timestamp task check disk size after hot extend task path home worker workspace ansible windows number para virtual efi ansible vsphere gos validation windows v hba hot add remove hot extend disk test yml number fatal localhost failed got disk size number gb in guest os after hot extend to number gb,product
timestamp failed at play nvme disk hot extend spec number timestamp task check disk size after hot extend task path home worker workspace ansible windows number lsi logic sas vmxnet number efi ansible vsphere gos validation windows v hba hot add remove hot extend disk test yml number fatal localhost failed got disk size number gb in guest os after hot extend to number gb,product
timestamp failed at play nvme disk hot extend spec number timestamp task check disk size after hot extend task path home worker workspace ansible windows number main nvme efi ansible vsphere gos validation windows v hba hot add remove hot extend disk test yml number fatal localhost failed got disk size number gb in guest os after hot extend to number gb,product
timestamp failed at play go sc perl static ip timestamp task gos customization failed fatal localhost failed vm dns domain search domains are not expected search domains test com go sc test com,product
timestamp failed at play go sc cloud init dhcp timestamp task assert cloud init guest customization checks all pass failed localhost item dns suffix success is false vm dns domain search domains are eng vmware com vmware com not expected search domains test com go sc test com and dns suffix success is false,product
timestamp failed at play go sc cloud init static ip timestamp task gos customization failed fatal localhost failed vm dns servers are ip address not expected dns servers ip address ip address vm dns domain search domains are lan not expected search domains test com go sc test com vm static ip v4 address is ip address expected ip v4 address is ip address,product
timestamp failed at play go sc cloud init dhcp timestamp task gos customization failed fatal localhost failed vm dns servers are ip address ip address ip address not expected dns servers ip address ip address,product
timestamp failed at play go sc cloud init static ip timestamp task gos customization failed fatal localhost failed vm dns servers are ip address not expected dns servers ip address ip address vm dns domain search domains are lan not expected search domains test com go sc test com vm static ip v4 address is ip address expected ip v4 address is ip address vm static ip v4 gateway is ip address expected ip v4 gateway is ip address,product
timestamp failed at play go sc perl dhcp timestamp task assert perl guest customization checks all pass failed localhost item hostname success is false vm hostname is sc2 10 187 120 243 expected hostname is go sc dhcp vm 01 and hostname success is false failed localhost item dns domain success is false vm dns domain name is nimbus eng vmware com expected domain name is go sc test com and dns domain success is false failed localhost item dns servers success is false vm dns servers are ip address ip address not expected dns servers ip address ip address and dns servers success is false failed localhost item dns suffix success is false vm dns domain search domains are nimbus eng vmware com eng vmware com vmware com not expected search domains test com go sc test com and dns suffix success is false,product
timestamp failed at play go sc perl dhcp timestamp task assert perl guest customization checks all pass failed localhost item hostname success is false vm hostname is wdc 10 191 178 154 expected hostname is go sc dhcp vm 01 and hostname success is false failed localhost item dns domain success is false vm dns domain name is nimbus eng vmware com expected domain name is go sc test com and dns domain success is false failed localhost item dns servers success is false vm dns servers are ip address ip address ip address not expected dns servers ip address ip address and dns servers success is false failed localhost item dns suffix success is false vm dns domain search domains are eng vmware com vmware com nimbus eng vmware com not expected search domains test com go sc test com and dns suffix success is false,product
timestamp failed at play go sc perl dhcp timestamp task assert perl guest customization checks all pass failed localhost item hostname success is false vm hostname is sc1 10 78 88 80 expected hostname is go sc dhcp vm 01 and hostname success is false failed localhost item dns domain success is false vm dns domain name is eng vmware com expected domain name is go sc test com and dns domain success is false failed localhost item dns servers success is false vm dns servers are ip address ip address ip address not expected dns servers ip address ip address and dns servers success is false failed localhost item dns suffix success is false vm dns domain search domains are nimbus eng vmware com eng vmware com vmware com not expected search domains test com go sc test com and dns suffix success is false,product
timestamp failed at play go sc perl dhcp timestamp task assert perl guest customization checks all pass failed localhost item hostname success is false vm hostname is sc1 10 78 82 157 expected hostname is go sc dhcp vm 01 and hostname success is false failed localhost item dns domain success is false vm dns domain name is eng vmware com expected domain name is go sc test com and dns domain success is false failed localhost item dns servers success is false vm dns servers are ip address ip address ip address not expected dns servers ip address ip address and dns servers success is false failed localhost item dns suffix success is false vm dns domain search domains are nimbus eng vmware com eng vmware com vmware com not expected search domains test com go sc test com and dns suffix success is false,product
timestamp failed at play go sc cloud init dhcp timestamp task assert cloud init guest customization checks all pass failed localhost item dns suffix success is false vm dns domain search domains are eng vmware com nimbus eng vmware com vmware com not expected search domains test com go sc test com and dns suffix success is false,product
timestamp failed at play go sc perl dhcp timestamp task assert perl guest customization checks all pass failed localhost item hostname success is false vm hostname is sc2 10 184 84 255 expected hostname is go sc dhcp vm 01 and hostname success is false failed localhost item dns domain success is false vm dns domain name is eng vmware com expected domain name is go sc test com and dns domain success is false failed localhost item dns servers success is false vm dns servers are ip address ip address ip address not expected dns servers ip address ip address and dns servers success is false failed localhost item dns suffix success is false vm dns domain search domains are nimbus eng vmware com eng vmware com vmware com not expected search domains test com go sc test com and dns suffix success is false,product
timestamp failed at play go sc perl dhcp timestamp task assert perl guest customization checks all pass failed localhost item hostname success is false vm hostname is sc2 10 184 94 83 expected hostname is go sc dhcp vm 01 and hostname success is false failed localhost item dns domain success is false vm dns domain name is eng vmware com expected domain name is go sc test com and dns domain success is false failed localhost item dns servers success is false vm dns servers are ip address ip address ip address not expected dns servers ip address ip address and dns servers success is false failed localhost item dns suffix success is false vm dns domain search domains are nimbus eng vmware com eng vmware com vmware com not expected search domains test com go sc test com and dns suffix success is false,product
timestamp failed at play go sc perl dhcp timestamp task assert perl guest customization checks all pass failed localhost item hostname success is false vm hostname is sc1 10 168 185 206 expected hostname is go sc dhcp vm 01 and hostname success is false failed localhost item dns domain success is false vm dns domain name is nimbus eng vmware com expected domain name is go sc test com and dns domain success is false failed localhost item dns servers success is false vm dns servers are ip address ip address not expected dns servers ip address ip address and dns servers success is false failed localhost item dns suffix success is false vm dns domain search domains are nimbus eng vmware com eng vmware com vmware com not expected search domains test com go sc test com and dns suffix success is false,product
timestamp failed at play go sc perl dhcp timestamp task assert perl guest customization checks all pass failed localhost item hostname success is false vm hostname is sc1 10 168 186 201 expected hostname is go sc dhcp vm 01 and hostname success is false failed localhost item dns domain success is false vm dns domain name is nimbus eng vmware com expected domain name is go sc test com and dns domain success is false failed localhost item dns servers success is false vm dns servers are ip address ip address not expected dns servers ip address ip address and dns servers success is false failed localhost item dns suffix success is false vm dns domain search domains are nimbus eng vmware com eng vmware com vmware com not expected search domains test com go sc test com and dns suffix success is false,product
timestamp failed at play go sc perl dhcp timestamp task assert perl guest customization checks all pass failed localhost item hostname success is false vm hostname is sc1 10 78 161 170 expected hostname is go sc dhcp vm 01 and hostname success is false failed localhost item dns domain success is false vm dns domain name is eng vmware com expected domain name is go sc test com and dns domain success is false failed localhost item dns servers success is false vm dns servers are ip address ip address ip address not expected dns servers ip address ip address and dns servers success is false failed localhost item dns suffix success is false vm dns domain search domains are nimbus eng vmware com eng vmware com vmware com not expected search domains test com go sc test com and dns suffix success is false,product
timestamp failed at play go sc perl dhcp timestamp task assert perl guest customization checks all pass failed localhost item hostname success is false vm hostname is sc1 10 78 168 71 expected hostname is go sc dhcp vm 01 and hostname success is false failed localhost item dns domain success is false vm dns domain name is eng vmware com expected domain name is go sc test com and dns domain success is false failed localhost item dns servers success is false vm dns servers are ip address ip address ip address not expected dns servers ip address ip address and dns servers success is false failed localhost item dns suffix success is false vm dns domain search domains are nimbus eng vmware com eng vmware com vmware com not expected search domains test com go sc test com and dns suffix success is false,product
