log,anchor,lineid,passage,label
timestamp number writing deployment results to svc vm platform blr vcqa cat number number esx number nimbus esx deploy result json,timestamp number runtime fault runtime fault summary,202552,2544,irrelevant
timestamp number fault runtime fault key vm key for nimbus testing null not found,timestamp number runtime fault runtime fault summary,202551,2544,relevant
timestamp number task rb number in wait for completion,timestamp number runtime fault runtime fault summary,202550,2544,irrelevant
timestamp number rb vmomi fault runtime fault runtime fault summary,timestamp number runtime fault runtime fault summary,202549,2544,relevant
timestamp number serial log svc vm platform blr vcqa cat number number esx number serial dump json does not exist,timestamp number runtime fault runtime fault summary,202548,2544,irrelevant
timestamp number reached max retries forwarding exception runtime fault runtime fault summary,timestamp number runtime fault runtime fault summary,202547,2544,relevant
timestamp number svc vm platform blr vcqa cat number number esx number re configuration vm task event chain id number,timestamp number runtime fault runtime fault summary,202546,2544,relevant
timestamp number adding vtpm device,timestamp number runtime fault runtime fault summary,202545,2544,relevant
timestamp number setting reservation as user given reservation cpu mem,timestamp number runtime fault runtime fault summary,202544,2544,irrelevant
timestamp number enabling secure boot,timestamp number runtime fault runtime fault summary,202543,2544,irrelevant
timestamp number adding usb controller,timestamp number runtime fault runtime fault summary,202542,2544,irrelevant
timestamp number guest os vm kernel number guest upgrading hw version to latest,timestamp number runtime fault runtime fault summary,202541,2544,irrelevant
timestamp number disk info vmware para virtual scsi scsi controller number,timestamp number runtime fault runtime fault summary,202540,2544,irrelevant
timestamp number add lease buffer of number hours now the lease of esx template ob hex id is timestamp number,timestamp number runtime fault runtime fault summary,202539,2544,irrelevant
timestamp number esx template ob hex id clone vm task event chain id number,timestamp number runtime fault runtime fault summary,202538,2544,irrelevant
timestamp number performing linked clone,timestamp number runtime fault runtime fault summary,202537,2544,relevant
timestamp number cloning vm svc vm platform blr vcqa cat number number esx number,timestamp number runtime fault runtime fault summary,202536,2544,relevant
timestamp number vm configuration spec,timestamp number runtime fault runtime fault summary,202535,2544,irrelevant
timestamp number changing boot order to be local disk only,timestamp number runtime fault runtime fault summary,202534,2544,irrelevant
timestamp number adding virtual ssd number for disk with controller scsi number,timestamp number runtime fault runtime fault summary,202533,2544,irrelevant
timestamp number para virtual scsi controller with no sharing already exists,timestamp number runtime fault runtime fault summary,202532,2544,irrelevant
timestamp number adding disk pvscsi ssd hex id,timestamp number runtime fault runtime fault summary,202531,2544,irrelevant
timestamp number similar disk of type para virtual scsi controller already exists,timestamp number runtime fault runtime fault summary,202530,2544,irrelevant
timestamp number adding disk pvscsi disk hex id,timestamp number runtime fault runtime fault summary,202529,2544,irrelevant
timestamp number disk configure parameters,timestamp number runtime fault runtime fault summary,202528,2544,irrelevant
timestamp number networks sc number number nimbus dual stack v number,timestamp number runtime fault runtime fault summary,202527,2544,irrelevant
timestamp number converting nic number from to,timestamp number runtime fault runtime fault summary,202526,2544,irrelevant
timestamp number primary disk can not be smaller than the minimum required size of number gb,timestamp number runtime fault runtime fault summary,202525,2544,irrelevant
timestamp number option disk will be implemented as para virtual scsi disk,timestamp number runtime fault runtime fault summary,202524,2544,irrelevant
timestamp number option ssd will be implemented as para virtual scsi ssd,timestamp number runtime fault runtime fault summary,202523,2544,irrelevant
timestamp number note since version id esxi supports only native drivers nic type and lsi disks are no longer supported will be replaced with vmxnet number lsi disks will be replaced with pvscsi disks,timestamp number runtime fault runtime fault summary,202522,2544,irrelevant
timestamp number debug template path nimbus esx template ob hex id,timestamp number runtime fault runtime fault summary,202521,2544,irrelevant
timestamp number looking up build ob hex id,timestamp number runtime fault runtime fault summary,202520,2544,irrelevant
timestamp number esx version from build web is version id,timestamp number runtime fault runtime fault summary,202519,2544,irrelevant
timestamp number determining esx version pod version id tree ob hex id,timestamp number runtime fault runtime fault summary,202518,2544,irrelevant
timestamp number user stats number vms using number gb of storage,timestamp number runtime fault runtime fault summary,202517,2544,irrelevant
timestamp number resource pool sc number number host sc number number resources,timestamp number runtime fault runtime fault summary,202516,2544,irrelevant
timestamp number data store sc number number vsan,timestamp number runtime fault runtime fault summary,202515,2544,irrelevant
timestamp number selected compute resource sc number number vc number c number,timestamp number runtime fault runtime fault summary,202514,2544,irrelevant
timestamp number sc number number cpu number cpu res number mem number mem res number ds sc number number vsan free number,timestamp number runtime fault runtime fault summary,202513,2544,irrelevant
timestamp number using placement hint number hence no sorting,timestamp number runtime fault runtime fault summary,202512,2544,irrelevant
timestamp number choosing cluster from sc number number,timestamp number runtime fault runtime fault summary,202511,2544,irrelevant
timestamp number vim connection op id is nbs ek rep v a,timestamp number runtime fault runtime fault summary,202510,2544,irrelevant
timestamp number nimbus sc number number vc number,timestamp number runtime fault runtime fault summary,202509,2544,irrelevant
timestamp number connecting to nimbus sc number number oc vmware com,timestamp number runtime fault runtime fault summary,202508,2544,irrelevant
timestamp number main pipeline false sub deploy mode true,timestamp number runtime fault runtime fault summary,202507,2544,irrelevant
timestamp number main pipeline true sub deploy mode true,timestamp number runtime fault runtime fault summary,202506,2544,irrelevant
timestamp number git version for rb vmomi utilities heads release number gf number d number,timestamp number runtime fault runtime fault summary,202505,2544,irrelevant
timestamp number git version for rb vmomi heads release number g number aa number b number,timestamp number runtime fault runtime fault summary,202504,2544,irrelevant
timestamp number git version for nimbus configurations heads release number g number ada c,timestamp number runtime fault runtime fault summary,202503,2544,irrelevant
timestamp number git version for nimbus heads release number g number c number ea,timestamp number runtime fault runtime fault summary,202502,2544,irrelevant
timestamp number git version for git heads master number gc number b number,timestamp number runtime fault runtime fault summary,202501,2544,irrelevant
timestamp number log name worker,timestamp number runtime fault runtime fault summary,202500,2544,irrelevant
timestamp number id uid number svc vm platform blr gid number mts groups number mts,timestamp number runtime fault runtime fault summary,202499,2544,irrelevant
timestamp number user svc vm platform blr,timestamp number runtime fault runtime fault summary,202498,2544,irrelevant
timestamp number hostname sc number number number number number eng vmware com pid number,timestamp number runtime fault runtime fault summary,202497,2544,irrelevant
timestamp number vm resource requirement cpu number vcpu s mem number mb disk hex id kb,timestamp number runtime fault runtime fault summary,202496,2544,irrelevant
timestamp number failed to guess build tree,timestamp number runtime fault runtime fault summary,202495,2544,irrelevant
timestamp number deprecated disable sas disks all disk options will be ignored,timestamp number runtime fault runtime fault summary,202494,2544,irrelevant
timestamp number writing deployment results to svc vm provision vc qa cat number number esx number nimbus esx deploy result json,timestamp number execution expired,202141,2537,irrelevant
timestamp number nimbus ip listener rb in wait for ip,timestamp number execution expired,202140,2537,relevant
timestamp number nimbus ip listener rb in sleep,timestamp number execution expired,202139,2537,irrelevant
timestamp number timeout error execution expired,timestamp number execution expired,202138,2537,relevant
timestamp number serial log svc vm provision vc qa cat number number esx number serial dump json does not exist,timestamp number execution expired,202137,2537,irrelevant
timestamp number reached max retries forwarding exception execution expired,timestamp number execution expired,202136,2537,relevant
timestamp number still waiting for ip ips,timestamp number execution expired,202135,2537,relevant
timestamp number svc vm provision vc qa cat number number esx number mac addresses mac address mac address,timestamp number execution expired,202134,2537,irrelevant
timestamp number un recognized esx screen shot screen text space pause esc restart backspace quit ipxe initialising devices ok vmware ipxe build hex id snp only number efi load options ipxe version id vmware open source network boot firmware http ipxe org features dns http https tftp efi menu configuring net number mac address ok net number mac address using n ii on n ii number open link up transmitted number transmitted e number received number received e number received e number x invalid argument http ipxe org hex id received e number x the socket is not connected http ipxe org hex id received e number x operation not supported http ipxe org hex id received e number x error hex id http ipxe org hex id configuring net number mac address ok net number ip address ip address gw ip address net number ip address net number ip address gw ip address next server ip address filename linux install ipxe tramp tftp ip address linux install ipxe tramp connection timed out http ipxe org hex id number error number timeout press a key to continue,timestamp number execution expired,202133,2537,irrelevant
timestamp number doing screen shot anal y zing,timestamp number execution expired,202132,2537,irrelevant
timestamp number un recognized esx screen shot screen text space pause esc restart backspace quit ipxe initialising devices ok vmware ipxe build hex id snp only number efi load options ipxe version id vmware open source network boot firmware http ipxe org features dns http https tftp efi menu configuring net number mac address ok net number mac address using n ii on n ii number open link up transmitted number transmitted e number received number received e number received e number x the socket is not connected http ipxe org hex id received e number x error hex id http ipxe org hex id received e number x operation not supported http ipxe org hex id received e number x the socket is not connected http ipxe org hex id configuring net number mac address ok net number ip address ip address gw ip address net number ip address net number ip address gw ip address next server ip address filename linux install ipxe tramp tftp ip address linux install ipxe tramp connection timed out http ipxe org hex id number error number timeout press a key to continue,timestamp number execution expired,202131,2537,irrelevant
timestamp number un recognized esx screen shot screen text boot manager boot normally continue to boot using the default boot order efi network number efi virtual disk number efi virtual disk number efi network efi internal shell un supported option enter setup reset the system shut down the system move highlight enter select entry,timestamp number execution expired,202130,2537,irrelevant
