name,raw,category,processed,priority,target,comment,label
ansible_gosv_logs_202201_FAILURE_Ansible_SLES_15SP4_70U3_NVME_E1000E_EFI_SecureBoot-1_failed_tasks_log.0,"2022-01-29 13:36:05,029 | Failed at Play [lsilogic_vhba_device_ops] ******************
2022-01-29 13:36:05,029 | TASK [Wait for device list changed] ************************
task path: /home/worker/workspace/Ansible_SLES_15SP4_70U3_NVME_E1000E_EFI_SecureBoot/ansible-vsphere-gos-validation/linux/vhba_hot_add_remove/wait_device_list_changed.yml:97
fatal: [localhost -> 10.170.78.91]: FAILED! =>  when lsblk",lsblk-20220128,timestamp failed at play lsi logic v hba device ops timestamp task wait for device list changed fatal localhost ip address failed when ls blk,,,,.
ansible_gosv_logs_202201_FAILURE_Ansible_SLES_15SP4_70U3_NVME_E1000E_EFI_SecureBoot-2_failed_tasks_log.0,"2022-01-29 15:56:40,029 | Failed at Play [lsilogic_vhba_device_ops] ******************
2022-01-29 15:56:40,029 | TASK [Wait for device list changed] ************************
task path: /home/worker/workspace/Ansible_SLES_15SP4_70U3_NVME_E1000E_EFI_SecureBoot/ansible-vsphere-gos-validation/linux/vhba_hot_add_remove/wait_device_list_changed.yml:97
fatal: [localhost -> 10.170.78.91]: FAILED! =>  when lsblk",lsblk-20220128,timestamp failed at play lsi logic v hba device ops timestamp task wait for device list changed fatal localhost ip address failed when ls blk,,,,.
ansible_gosv_logs_202201_FAILURE_Ansible_SLES_15SP4_MAIN_NVME_E1000E_BIOS-1_failed_tasks_log.1,"2022-01-29 13:21:10,029 | Failed at Play [lsilogic_vhba_device_ops] ******************
2022-01-29 13:21:10,029 | TASK [Wait for device list changed] ************************
task path: /home/worker/workspace/Ansible_SLES_15SP4_MAIN_NVME_E1000E_BIOS/ansible-vsphere-gos-validation/linux/vhba_hot_add_remove/wait_device_list_changed.yml:97
fatal: [localhost -> 10.180.196.198]: FAILED! =>  when lsblk",lsblk-20220128,timestamp failed at play lsi logic v hba device ops timestamp task wait for device list changed fatal localhost ip address failed when ls blk,,,,.
ansible_gosv_logs_202201_FAILURE_Ansible_SLES_15SP4_MAIN_NVME_E1000E_BIOS-2_failed_tasks_log.1,"2022-01-29 15:58:58,029 | Failed at Play [lsilogic_vhba_device_ops] ******************
2022-01-29 15:58:58,029 | TASK [Wait for device list changed] ************************
task path: /home/worker/workspace/Ansible_SLES_15SP4_MAIN_NVME_E1000E_BIOS/ansible-vsphere-gos-validation/linux/vhba_hot_add_remove/wait_device_list_changed.yml:97
fatal: [localhost -> 10.180.196.198]: FAILED! =>  when lsblk",lsblk-20220128,timestamp failed at play lsi logic v hba device ops timestamp task wait for device list changed fatal localhost ip address failed when ls blk,,,,.
ansible_gosv_logs_FAILURE_Ansible_Regression_Flatcar_OVA-33_logs_failed_tasks_log.0,"2022-01-26 04:11:22,026 | Failed at Play [lsilogic_vhba_device_ops] ******************
2022-01-26 04:11:22,026 | TASK [Wait for device list changed] ************************
task path: /home/worker/workspace/Ansible_Regression_Flatcar_OVA/ansible-vsphere-gos-validation/linux/vhba_hot_add_remove/wait_device_list_changed.yml:97
fatal: [localhost -> 10.182.8.217]: FAILED! =>  when lsblk",lsblk-20220128,timestamp failed at play lsi logic v hba device ops timestamp task wait for device list changed fatal localhost ip address failed when ls blk,,,,.
ansible_gosv_logs_FAILURE_Ansible_Regression_Flatcar_OVA-34_logs_failed_tasks_log.0,"2022-01-26 07:49:30,026 | Failed at Play [lsilogic_vhba_device_ops] ******************
2022-01-26 07:49:30,026 | TASK [Wait for device list changed] ************************
task path: /home/worker/workspace/Ansible_Regression_Flatcar_OVA/ansible-vsphere-gos-validation/linux/vhba_hot_add_remove/wait_device_list_changed.yml:97
fatal: [localhost -> 10.182.8.217]: FAILED! =>  when lsblk",lsblk-20220128,timestamp failed at play lsi logic v hba device ops timestamp task wait for device list changed fatal localhost ip address failed when ls blk,,,,.
ansible_gosv_logs_202201_FAILURE_Ansible_Cycle_Ubuntu_20_04_3_ISO-35_failed_tasks_log.0,"2022-01-28 13:36:04,028 | Failed at Play [e1000e_network_device_ops] *****************
2022-01-28 13:36:04,028 | TASK [Apply netplan configuration file for new added nic ens224 in Ubuntu] 
task path: /home/worker/workspace/Ansible_Cycle_Ubuntu_20.04.3_ISO/ansible-vsphere-gos-validation/linux/network_device_ops/enable_new_ethernet.yml:86
fatal: [localhost]: FAILED! => Failed to connect to the host via ssh: ssh: connect to host 10.182.6.177 port 22: Connection timed out",ssh_to_host_failure_20211220,timestamp failed at play network device ops timestamp task apply net plan configuration file for new added nic in ubuntu fatal localhost failed failed to connect to the host via ssh ssh connect to host ip address port number connection timed out,,,,.
ansible_gosv_logs_202201_FAILURE_Ansible_Cycle_Ubuntu_20_04_3_ISO-35_failed_tasks_log.1,"2022-01-28 15:52:11,028 | Failed at Play [vmxnet3_network_device_ops] ****************
2022-01-28 15:52:11,028 | TASK [Apply netplan configuration file for new added nic ens224 in Ubuntu] 
task path: /home/worker/workspace/Ansible_Cycle_Ubuntu_20.04.3_ISO/ansible-vsphere-gos-validation/linux/network_device_ops/enable_new_ethernet.yml:86
fatal: [localhost]: FAILED! => Failed to connect to the host via ssh: ssh: connect to host 10.182.6.177 port 22: Connection timed out",ssh_to_host_failure_20211220,timestamp failed at play vmxnet number network device ops timestamp task apply net plan configuration file for new added nic in ubuntu fatal localhost failed failed to connect to the host via ssh ssh connect to host ip address port number connection timed out,,,,.
ansible_gosv_logs_202201_FAILURE_Ansible_SLES_15SP4_67GA_LSILOGIC_E1000E_BIOS-1_failed_tasks_log.2,"2022-01-29 15:30:43,029 | Failed at Play [lsilogic_vhba_device_ops] ******************
2022-01-29 15:30:43,029 | TASK [Rescan all scsi devices] *****************************
task path: /home/worker/workspace/Ansible_SLES_15SP4_67GA_LSILOGIC_E1000E_BIOS/ansible-vsphere-gos-validation/linux/vhba_hot_add_remove/wait_device_list_changed.yml:30
fatal: [localhost]: FAILED! => Failed to connect to the host via ssh: ssh: connect to host 10.191.169.121 port 22: No route to host",ssh_to_host_failure_20211220,timestamp failed at play lsi logic v hba device ops timestamp task re scan all scsi devices fatal localhost failed failed to connect to the host via ssh ssh connect to host ip address port number no route to host,,,,.
ansible_gosv_logs_202201_FAILURE_Ansible_SLES_15SP4_70U1_LSILOGICSAS_VMXNET3_BIOS-2_failed_tasks_log.0,"2022-01-29 18:10:07,029 | Failed at Play [lsilogic_vhba_device_ops] ******************
2022-01-29 18:10:07,029 | TASK [Rescan all scsi devices] *****************************
task path: /home/worker/workspace/Ansible_SLES_15SP4_70U1_LSILOGICSAS_VMXNET3_BIOS/ansible-vsphere-gos-validation/linux/vhba_hot_add_remove/wait_device_list_changed.yml:30
fatal: [localhost]: FAILED! => Failed to connect to the host via ssh: ssh: connect to host 10.191.246.54 port 22: Connection timed out",ssh_to_host_failure_20211220,timestamp failed at play lsi logic v hba device ops timestamp task re scan all scsi devices fatal localhost failed failed to connect to the host via ssh ssh connect to host ip address port number connection timed out,,,,.
