filename,solution,target,type,log,label
_2022_05_07_020000_esx_INVALID_101180367_vivekanandar_VUM_67U3ToMain_101180367_0_esx_2_nimbus_esxdeploy_txt,intermittent,pod,infra,timestamp number powering on vm timestamp number vm is on hosts c number number oc vmware com before powering on timestamp number reached max retries forwarding exception generic vm configuration fault file system specific implementation of ioctl file failed timestamp number rb vmomi fault generic vm configuration fault file system specific implementation of ioctl file failed timestamp number fault generic vm configuration fault file system specific implementation of ioctl file failed file system specific implementation of ioctl file failed timestamp number generic vm configuration fault file system specific implementation of ioctl file failed,intermittent.pod.infra
_2022_05_07_230000_esx_INVALID_101201235_leiding_vsan2reboot_101201235_0_esx_1_nimbus_esxdeploy_txt,intermittent,pod,infra,timestamp number performing linked clone timestamp number esx template sb hex id clone vm task event chain id number timestamp number reached max retries forwarding exception can not create file can not complete file creation operation timestamp number rb vmomi fault can not create file can not complete file creation operation timestamp number nimbus rb in conduct clone task timestamp number nimbus rb in clone timestamp number nimbus rb in linked clone timestamp number nimbus rb in linked clone timestamp number fault can not create file virtual san node wdc number oc vmware com maximum ssd cong in hex id congestion reached timestamp number can not create file can not complete file creation operation,intermittent.pod.infra
_2022_05_09_080000_esx_INVALID_101227304_svc_upitcat_lwd_testvpx_staging_101227304_0_esx_3_nimbus_esxdeploy_txt,intermittent,pod,infra,timestamp number powering on vm timestamp number svc up it cat lwd test vpx staging number number esx number power on vm task event chain id hex id timestamp number reached max retries forwarding exception generic vm configuration fault can not start thread number no space left on device timestamp number rb vmomi fault generic vm configuration fault can not start thread number no space left on device timestamp number fault generic vm configuration fault can not start thread number no space left on device can not start thread number no space left on device timestamp number generic vm configuration fault can not start thread number no space left on device,intermittent.pod.infra
_2022_05_07_100000_esx_INVALID_101191162_svc_vmplatformsec_esxtokend_101191162_0_esx_0_nimbus_esxdeploy_txt,intermittent,pod,infra,timestamp number powering on vm timestamp number svc vm platform sec esx tokend number number esx number power on vm task event chain id number timestamp number reached max retries forwarding exception system error a general system error occurred vds host error see fault cause timestamp number rb vmomi fault system error a general system error occurred vds host error see fault cause timestamp number fault system error can not create dv port number of vds sc number number dvs on the hosts c number number oc vmware com vds host error see fault cause timestamp number system error a general system error occurred vds host error see fault cause,intermittent.pod.infra
_2022_05_09_110000_esx_INVALID_101229613_svc_vsan_er_test_esx_8gbmem_vsan_iscsi_101229613_0_esx_0_nimbus_esxdeploy_txt,intermittent,pod,infra,timestamp number creating vm svc vsan er test esx number gb mem vsan iscsi number number esx number timestamp number svc vsan er create vm task event chain id number timestamp number reached max retries forwarding exception system error a general system error occurred error creating disk resource temporarily unavailable timestamp number rb vmomi fault system error a general system error occurred error creating disk resource temporarily unavailable timestamp number fault system error file system specific implementation of ioctl file failed error creating disk resource temporarily unavailable timestamp number system error a general system error occurred error creating disk resource temporarily unavailable,intermittent.pod.infra
_2022_05_06_100000_esx_INVALID_101166720_svc_vmplatformsec_ip_testesx_101166720_0_esx_0_nimbus_esxdeploy_txt,intermittent,pod,infra,timestamp number creating vm svc vm platform sec ip testes x number number esx number timestamp number svc vm platform sec create vm task event chain id number timestamp number reached max retries forwarding exception can not create file can not complete file creation operation timestamp number rb vmomi fault can not create file can not complete file creation operation timestamp number fault can not create file failed to create object timestamp number can not create file can not complete file creation operation,intermittent.pod.infra
_2022_05_07_230000_esx_INVALID_101201235_leiding_vsan2reboot_101201235_0_esx_1_nimbus_esxdeploy_txt,intermittent,pod,infra,timestamp number performing linked clone timestamp number esx template sb hex id clone vm task event chain id number timestamp number reached max retries forwarding exception can not create file can not complete file creation operation timestamp number rb vmomi fault can not create file can not complete file creation operation timestamp number nimbus rb in conduct clone task timestamp number nimbus rb in clone timestamp number nimbus rb in linked clone timestamp number nimbus rb in linked clone timestamp number fault can not create file virtual san node wdc number oc vmware com maximum ssd cong in hex id congestion reached timestamp number can not create file can not complete file creation operation,intermittent.pod.infra
_2022_05_07_130000_esx_INVALID_101193333_svc_vsan_er_vsan2_vit_fvt_unmap_101193333_0_esx_3_nimbus_esxdeploy_txt,intermittent,pod,infra,timestamp number powering on vm timestamp number svc vsan er vsan number vit fvt un map number number esx number power on vm task event chain id hex id timestamp number reached max retries forwarding exception generic vm configuration fault unable to enumerate all disks timestamp number rb vmomi fault generic vm configuration fault unable to enumerate all disks timestamp number fault generic vm configuration fault unable to enumerate all disks unable to enumerate all disks timestamp number generic vm configuration fault unable to enumerate all disks,intermittent.pod.infra
_2022_05_10_180000_esx_INVALID_101257056_svc_upitcat_lwd_testvpx_staging_101257056_0_esx_1_nimbus_esxdeploy_txt,intermittent,pod,infra,timestamp number performing linked clone timestamp number esx template sb hex id clone vm task event chain id hex id timestamp number reached max retries forwarding exception platform configuration fault an error occurred during host configuration timestamp number rb vmomi fault platform configuration fault an error occurred during host configuration timestamp number nimbus rb in conduct clone task timestamp number nimbus rb in clone timestamp number nimbus rb in linked clone timestamp number nimbus rb in linked clone timestamp number fault platform configuration fault fault message text failed to attach vif uuid to network nsx logical switch hex id bad number timestamp number platform configuration fault an error occurred during host configuration,intermittent.pod.infra
_2022_05_10_000000_esx_INVALID_101240802_jianxiangz_vsan2_perf_fvt_netalarm_strcluster_101240802_0_esx_4_nimbus_esxdeploy_txt,intermittent,pod,infra,timestamp number powering on vm timestamp number j ian xian gz vsan number perf fvt net alarm string cluster number number esx number power on vm task event chain id number timestamp number reached max retries forwarding exception generic vm configuration fault reached the host s limit for open files timestamp number rb vmomi fault generic vm configuration fault reached the host s limit for open files timestamp number fault generic vm configuration fault reached the host s limit for open files reached the host s limit for open files timestamp number generic vm configuration fault reached the host s limit for open files,intermittent.pod.infra
