processed,target,version
timestamp failed at play check ip address timestamp task skip test case check ip address reason blocked task path home worker workspace ansible windows server lts c main lsi logic sas efi ansible vsphere gos validation common skip test case yml number fatal localhost failed test case check ip address is blocked because vmware tools installed false running false,usererror,202207041600
timestamp failed at play nvme disk hot extend spec number timestamp task check disk size after hot extend task path home worker workspace ansible windows server lts c main lsi logic sas efi ansible vsphere gos validation windows v hba hot add remove hot extend disk test yml number fatal localhost failed got disk size number gb in guest os after hot extend to number gb,product,202207041600
timestamp failed at play deploy vmware photon ova timestamp task wait for port number to become open or contain specific keyword task path home worker workspace ansible photon number x ova ansible vsphere gos validation common vm wait ssh yml number fatal localhost failed timeout when waiting for search string openssh in ip address timestamp task testing exit due to failure task path home worker workspace ansible photon number x ova ansible vsphere gos validation common test rescue yml number fatal localhost failed exit testing when exit testing when fail is set to true in test case deploy vmware photon ova,testcase,202207041600
timestamp failed at play deploy vmware photon ova timestamp task wait for port number to become open or contain specific keyword task path home worker workspace ansible photon number x ova number ga ansible vsphere gos validation common vm wait ssh yml number fatal localhost failed timeout when waiting for search string openssh in ip address timestamp task testing exit due to failure task path home worker workspace ansible photon number x ova number ga ansible vsphere gos validation common test rescue yml number fatal localhost failed exit testing when exit testing when fail is set to true in test case deploy vmware photon ova,testcase,202207041600
timestamp failed at play nvme disk hot extend spec number timestamp task check disk size after hot extend task path home worker workspace ansible windows number main para virtual vmxnet number efi ansible vsphere gos validation windows v hba hot add remove hot extend disk test yml number fatal localhost failed got disk size number gb in guest os after hot extend to number gb,product,202207041600
timestamp failed at play vm library main timestamp task fail task path home worker workspace create new vm library template new gos testing internal vm library download and execute script yml number fatal localhost failed at least one guest configuration is incorrect in number photon number number efi open vm tools timestamp utc error check number serv fail is set in etc hostname no timestamp utc error check sta f is running no timestamp utc error check sta f ip address ping ping get pong no timestamp utc error fail to download http go sv pub eng vmware com go sv ovf scripts apps linux vet send ip pl,testcase,202207041600
timestamp failed at play nvme disk hot extend spec number timestamp task check disk size after hot extend task path home worker workspace ansible windows server lts c main para virtual vmxnet number bios ansible vsphere gos validation windows v hba hot add remove hot extend disk test yml number fatal localhost failed got disk size number gb in guest os after hot extend to number gb,product,202207041600
timestamp failed at play nvme disk hot extend spec number timestamp task check disk size after hot extend task path home worker workspace ansible windows server lts c nvme efi ansible vsphere gos validation windows v hba hot add remove hot extend disk test yml number fatal localhost failed got disk size number gb in guest os after hot extend to number gb,product,202207041600
timestamp failed at play nvme disk hot extend spec number timestamp task check disk size after hot extend task path home worker workspace ansible windows server lts c para virtual efi ansible vsphere gos validation windows v hba hot add remove hot extend disk test yml number fatal localhost failed got disk size number gb in guest os after hot extend to number gb,product,202207041600
timestamp failed at play nvme disk hot extend spec number timestamp task check disk size after hot extend task path home worker workspace ansible windows server lts c lsi logic sas bios ansible vsphere gos validation windows v hba hot add remove hot extend disk test yml number fatal localhost failed got disk size number gb in guest os after hot extend to number gb,product,202207041600
timestamp failed at play nvme disk hot extend spec number timestamp task check disk size after hot extend task path home worker workspace ansible windows server lts c main nvme bios ansible vsphere gos validation windows v hba hot add remove hot extend disk test yml number fatal localhost failed got disk size number gb in guest os after hot extend to number gb,product,202207041600
timestamp failed at play vm library main timestamp task fail task path home worker workspace create new vm library template new gos testing internal vm library download and execute script yml number fatal localhost failed at least one guest configuration is incorrect in number photon number number efi open vm tools timestamp utc error check reached is set in etc hostname no timestamp utc error check sta f is running no timestamp utc error check sta f ip address ping ping get pong no timestamp utc error fail to download http go sv pub eng vmware com go sv ovf scripts apps linux vet send ip pl,testcase,202207041600
