processed,target,version
timestamp failed at play go sc cloud init static ip timestamp task gos customization failed fatal localhost failed vm static ip v4 address is ip address expected ip v4 address is ip address vm static ip v4 gateway is ip address expected ip v4 gateway is ip address,product,202205240000
timestamp failed at play environment setup timestamp task deploy vm from ovf template exception in ansi ball z vmware deploy ovf python when ansi ball z main in soap adapter python when invoke method fatal localhost failed module failure see stdout stderr for the exact error,testcase,202205240000
timestamp failed at play testbed deploy nimbus timestamp task copy testbed spec file to database c server failed fatal localhost failed copy nimbus testbed spec to database c servers c eng vmware com failed can not execute nimbus command on it,testcase,202205240000
timestamp failed at play check quiesce snapshot timestamp task check specified file status until it exists in windows guest fatal localhost ip address failed,testcase,202205240000
timestamp failed at play nvme v hba device ops timestamp task create snapshot base snapshot on test rhel 7 fatal localhost failed insufficient disk space on data store,testbed,202205240000
timestamp failed at play deploy ubuntu ova timestamp task remove a serial port using output file fatal localhost failed a serial device can not be added to a vm in the current state powered on please use the vmware guest power state module to power off the vm timestamp task exit testing when exit testing when fail is set true fatal localhost failed failed to run test case deploy ubuntu ova,testcase,202205240000
timestamp failed at play deploy vm efi nvme timestamp task wait for getting vm test windows 10 32 1645428736027 ip address on esxi pe k2 hs1 eng vmware com fatal localhost un reachable data could not be sent to remote host pe k2 hs1 eng vmware com make sure this host can be reached over ssh ssh connect to host pe k2 hs1 eng vmware com port 22 connection timed out,testcase,202205240000
timestamp failed at play deploy vm efi nvme timestamp task wait for getting vm test windows 10 64 1645428722003 ip address on esxi pe k2 hs1 eng vmware com fatal localhost un reachable data could not be sent to remote host pe k2 hs1 eng vmware com make sure this host can be reached over ssh ssh connect to host pe k2 hs1 eng vmware com port 22 connection timed out,testcase,202205240000
timestamp failed at play deploy vm efi nvme timestamp task wait for getting vm test windows server lts c 22538 1645428724556 ip address on esxi pe k2 hs1 eng vmware com fatal localhost un reachable data could not be sent to remote host pe k2 hs1 eng vmware com make sure this host can be reached over ssh ssh connect to host pe k2 hs1 eng vmware com port 22 connection timed out,testcase,202205240000
timestamp failed at play lsi logic v hba device ops timestamp task wait for device list changed fatal localhost failed failed to set execute bit on remote files rc 1 error chmod changing permissions of tmp ansible tmp hex id 759 timestamp read only file system chmod changing permissions of tmp ansible tmp hex id 759 timestamp ansi ball z command python read only file system,testcase,202205240000
timestamp failed at play lsi logic v hba device ops timestamp task wait for device list changed fatal localhost failed failed to set execute bit on remote files rc 1 error chmod changing permissions of tmp ansible tmp hex id 884 timestamp read only file system chmod changing permissions of tmp ansible tmp hex id 884 timestamp ansi ball z command python read only file system,testcase,202205240000
timestamp failed at play memory hot add basic timestamp task set vm power state to shutdown guest fatal localhost failed vmware tools should be installed for guest shutdown reboot,testcase,202205240000
timestamp failed at play para virtual v hba device ops timestamp task check disk controller facts are same as before hot adding tests fatal localhost failed after tests vm disk controller fact is scsi 0 controller summary vmware para virtual scsi controller label scsi controller 0 controller bus number 0 controller controller key 100 controller device key 1000 controller unit number 3 controller disks device key 2000 controller bus sharing no sharing 1 controller summary vmware para virtual scsi controller label scsi controller 1 controller bus number 1 controller controller key 100 controller device key 1001 controller unit number 4 controller disks device key controller bus sharing no sharing sata nvme usb 2 usb 3 before tests it s scsi 0 controller summary vmware para virtual scsi controller label scsi controller 0 controller bus number 0 controller controller key 100 controller device key 1000 controller unit number 3 controller disks device key 2000 controller bus sharing no sharing sata nvme usb 2 usb 3,testcase,202205240000
timestamp failed at play nvme v hba device ops timestamp task check disk controller facts are same as before hot adding tests fatal localhost failed after tests vm disk controller fact is scsi 0 controller summary vmware para virtual scsi controller label scsi controller 0 controller bus number 0 controller controller key 100 controller device key 1000 controller unit number 3 controller disks device key 2000 controller bus sharing no sharing sata nvme 0 controller summary nvme controller 0 controller label nvme controller 0 controller bus number 0 controller controller key 100 controller device key 31000 controller unit number 30 controller disks device key 32000 usb 2 usb 3 before tests it s scsi 0 controller summary vmware para virtual scsi controller label scsi controller 0 controller bus number 0 controller controller key 100 controller device key 1000 controller unit number 3 controller disks device key 2000 controller bus sharing no sharing sata nvme usb 2 usb 3,testcase,202205240000
timestamp failed at play go sc sanity dhcp timestamp task check guest customization state fatal localhost failed not found tools deploy package publish state state 5 code 0 in vmware log timestamp task check if specified file exists in windows guest os fatal localhost un reachable failed to connect to the host via psrp https connection pool host ip address port 5986 max retries exceeded with url wsman caused by new connection error url library 3 connection https connection object at hex id failed to establish a new connection error number 110 connection timed out,testcase,202205240000
timestamp failed at play cpu multi cores per socket timestamp task check cpu cores per socket is set correctly fatal localhost failed failed to set cpu cores per socket to 12 timestamp task check vm snapshot is taken and is the current one fatal localhost failed failed to take snapshot fail cpu multi cores per socket timestamp 07 10 37 on vm test vm,testcase,202205240000
timestamp failed at play deploy vm efi para virtual vmxnet 3 timestamp task add virtual tpm device to vm exception in vmware guest tpm python when vtpm operation in vmware python when wait for task fatal localhost failed failed to configure vtpm device on virtual machine due to runtime fault summary none timestamp task check if exit testing parameter is set fatal localhost failed exit testing when exit testing when fail is set to true,testcase,202205240000
timestamp failed at play secure boot enable disable timestamp task check secure boot is enabled in guest os fatal localhost failed secure boot enabled status in guest os false,testcase,202205240000
timestamp failed at play lsi logic v hba device ops timestamp task re scan all scsi devices file not found error error number 2 no usable temporary directory found in tmp var tmp user tmp root fatal localhost ip address failed module failure see stdout stderr for the exact error,testcase,202205240000
timestamp failed at play deploy vm bios lsi logic sas timestamp task data store file operation fatal localhost failed file os linux ubuntu 22 04 hex id jammy live server amd 64 i so is absent can not continue timestamp task exit testing when exit testing when fail is set true fatal localhost failed failed to run test case deploy vm bios lsi logic sas e1000e,usererror,202205240000
timestamp failed at play deploy vm bios lsi logic sas timestamp task data store file operation fatal localhost failed file os linux ubuntu 22 04 jammy live server amd 64 i so is absent can not continue timestamp task exit testing when exit testing when fail is set true fatal localhost failed failed to run test case deploy vm bios lsi logic sas e1000e,usererror,202205240000
timestamp failed at play deploy vm bios sata timestamp task data store file operation fatal localhost failed file os linux photon 4 0 rev 2 photon 4 0 iso is absent can not continue timestamp task exit testing when exit testing when fail is set true fatal localhost failed failed to run test case deploy vm bios sata e1000e,usererror,202205240000
timestamp failed at play deploy vm bios lsi logic sas vmxnet 3 timestamp task data store file operation fatal localhost failed file os linux photon 4 0 rev 2 photon 4 0 iso is absent can not continue timestamp task exit testing when exit testing when fail is set true fatal localhost failed failed to run test case deploy vm bios lsi logic sas vmxnet 3,usererror,202205240000
timestamp failed at play environment setup timestamp task check variables for new vm settings fatal localhost failed invalid variables for new vm settings,usererror,202205240000
timestamp failed at play testbed deploy nimbus timestamp task parameter error fatal localhost failed parameter testbed version is not valid valid values main cycle 70ga 67ga 65ga,usererror,202205240000
timestamp failed at play sata v hba device ops timestamp task get specified property info for vm test vm exception in vmware python when connect to api in socket python when create connection fatal localhost failed unknown error while connecting to vcenter or esxi api at ip address error number 113 no route to host,testbed,202205240000
timestamp failed at play deploy vm efi lsi logic sas vmxnet 3 timestamp task fail fatal localhost failed ip ip address is not pingable timestamp task exit testing when exit testing when fail is set true fatal localhost failed failed to run test case deploy vm efi lsi logic sas vmxnet 3,targetvm,202205240000
timestamp failed at play stat host time timestamp task check difference between stat host time and the real host time is less than fatal localhost failed difference between stat host time and real host time is larger than 33 0s,targetvm,202205240000
timestamp failed at play go sc perl static ip timestamp task create snapshot base snapshot on test vm 1645006362701 fatal localhost failed insufficient disk space on data store,testbed,202205240000
timestamp failed at play go sc cloud init dhcp timestamp task create snapshot base snapshot on test vm 1645006362701 fatal localhost failed insufficient disk space on data store,testbed,202205240000
timestamp failed at play vg auth check service timestamp task create snapshot base snapshot on test vm 1645006362701 fatal localhost failed insufficient disk space on data store,testbed,202205240000
timestamp failed at play go sc cloud init static ip timestamp task create snapshot base snapshot on test vm 1645006362701 fatal localhost failed insufficient disk space on data store,testbed,202205240000
timestamp failed at play para virtual v hba device ops timestamp task create snapshot base snapshot on test vm 1645006362701 fatal localhost failed insufficient disk space on data store,testbed,202205240000
timestamp failed at play sata v hba device ops timestamp task create snapshot base snapshot on test vm 1645006362701 fatal localhost failed insufficient disk space on data store,testbed,202205240000
timestamp failed at play ovt verify un install timestamp task create snapshot base snapshot on test vm 1645006362701 fatal localhost failed insufficient disk space on data store,testbed,202205240000
