ngram,partition,token,attention,predict,confidence
1,0,times,0.04888328164815903,product,0.6861293911933899
1,,##tam,0.013502560555934906,,
1,,##p,0.07666220515966415,,
1,,failed,0.40611690282821655,,
1,,at,0.07304032146930695,,
1,,play,0.03708649426698685,,
1,,mouse,0.10699959844350815,,
1,1,failed,0.357890248298645,product,0.6366354823112488
1,,at,0.09419896453619003,,
1,,play,0.0236209686845541,,
1,,mouse,0.03526773303747177,,
1,,driver,0.11173852533102036,,
1,2,at,0.2938770055770874,product,0.4643697738647461
1,,play,0.022513849660754204,,
1,,mouse,0.02314067631959915,,
1,,driver,0.050901420414447784,,
1,,v,0.04035186395049095,,
1,,##m,0.21948157250881195,,
1,3,play,0.03563962131738663,usererror,0.24863672256469727
1,,mouse,0.018684400245547295,,
1,,driver,0.0461452379822731,,
1,,v,0.02490168623626232,,
1,,##m,0.04135629162192345,,
1,,tools,0.13849124312400818,,
1,4,mouse,0.06626918911933899,targetvm,0.45754125714302063
1,,driver,0.09155669063329697,,
1,,v,0.014018545858561993,,
1,,##m,0.04373396188020706,,
1,,tools,0.20137670636177063,,
1,,times,0.0992993712425232,,
1,,##tam,0.013329203240573406,,
1,,##p,0.10373370349407196,,
1,5,driver,0.12274783104658127,targetvm,0.760538637638092
1,,v,0.018730267882347107,,
1,,##m,0.05002140253782272,,
1,,tools,0.13116002082824707,,
1,,times,0.03312864154577255,,
1,,##tam,0.011394878849387169,,
1,,##p,0.026577308773994446,,
1,,task,0.2658023238182068,,
1,6,v,0.0224330835044384,targetvm,0.799623429775238
1,,##m,0.04028193652629852,,
1,,tools,0.11497741937637329,,
1,,times,0.06643867492675781,,
1,,##tam,0.011707810685038567,,
1,,##p,0.04388778656721115,,
1,,task,0.12521135807037354,,
1,,wait,0.2886347472667694,,
1,7,tools,0.13360552489757538,targetvm,0.3842020630836487
1,,times,0.03555760532617569,,
1,,##tam,0.008229999803006649,,
1,,##p,0.025226369500160217,,
1,,task,0.1445176899433136,,
1,,wait,0.32158219814300537,,
1,,for,0.14978629350662231,,
1,8,times,0.04052884504199028,product,0.6675639152526855
1,,##tam,0.011448129080235958,,
1,,##p,0.03584546595811844,,
1,,task,0.12649384140968323,,
1,,wait,0.29376769065856934,,
1,,for,0.09483595937490463,,
1,,getting,0.18180334568023682,,
1,9,task,0.25601425766944885,targetvm,0.5824503898620605
1,,wait,0.2334204912185669,,
1,,for,0.0589270256459713,,
1,,getting,0.04525473713874817,,
1,,v,0.028033137321472168,,
1,,##m,0.06979292631149292,,
1,10,wait,0.23132817447185516,product,0.48722898960113525
1,,for,0.07659044116735458,,
1,,getting,0.07437228411436081,,
1,,v,0.028954898938536644,,
1,,##m,0.03846026584506035,,
1,,test,0.08939176797866821,,
1,11,for,0.029765259474515915,usererror,0.9862659573554993
1,,getting,0.02066444605588913,,
1,,v,0.01194250863045454,,
1,,##m,0.012959225103259087,,
1,,test,0.025010250508785248,,
1,,v,0.01440037228167057,,
1,,##m,0.01421357598155737,,
1,12,getting,0.2520953416824341,targetvm,0.7212186455726624
1,,v,0.018572470173239708,,
1,,##m,0.043592359870672226,,
1,,test,0.0755048617720604,,
1,,v,0.03332357853651047,,
1,,##m,0.06019016355276108,,
1,,ip,0.10798320174217224,,
1,13,v,0.03311290591955185,targetvm,0.7970596551895142
1,,##m,0.08413010090589523,,
1,,test,0.1824323982000351,,
1,,v,0.03988087922334671,,
1,,##m,0.07165956497192383,,
1,,ip,0.051016680896282196,,
1,,address,0.0846574530005455,,
1,14,test,0.3206285834312439,targetvm,0.5811885595321655
1,,v,0.016098186373710632,,
1,,##m,0.027827896177768707,,
1,,ip,0.041030943393707275,,
1,,address,0.06257025897502899,,
1,,on,0.23747846484184265,,
1,15,v,0.023232189938426018,testbed,0.4433349370956421
1,,##m,0.050722166895866394,,
1,,ip,0.0721285343170166,,
1,,address,0.15222764015197754,,
1,,on,0.24088644981384277,,
1,,es,0.01920693926513195,,
1,,##xi,0.07523682713508606,,
1,16,ip,0.0928349643945694,targetvm,0.473664790391922
1,,address,0.17631928622722626,,
1,,on,0.16732719540596008,,
1,,es,0.015002962201833725,,
1,,##xi,0.03391733020544052,,
1,,ip,0.09985151886940002,,
1,17,address,0.26245495676994324,targetvm,0.8393824100494385
1,,on,0.14886027574539185,,
1,,es,0.014462563209235668,,
1,,##xi,0.03039681911468506,,
1,,ip,0.026812784373760223,,
1,,address,0.0653129369020462,,
1,18,on,0.24079951643943787,targetvm,0.7309303283691406
1,,es,0.008803756907582283,,
1,,##xi,0.019544854760169983,,
1,,ip,0.020181387662887573,,
1,,address,0.06269438564777374,,
1,,fatal,0.30356156826019287,,
1,19,es,0.032130613923072815,targetvm,0.6844684481620789
1,,##xi,0.04236430674791336,,
1,,ip,0.04663507640361786,,
1,,address,0.10078535974025726,,
1,,fatal,0.2727919816970825,,
1,,local,0.027956750243902206,,
1,,##hos,0.005623034201562405,,
1,,##t,0.06500378996133804,,
1,20,ip,0.04523823410272598,targetvm,0.7482253313064575
1,,address,0.08963184803724289,,
1,,fatal,0.2726929187774658,,
1,,local,0.021430006250739098,,
1,,##hos,0.0036360255908221006,,
1,,##t,0.03276657313108444,,
1,,un,0.24005809426307678,,
1,21,address,0.2308613359928131,testcase,0.7572452425956726
1,,fatal,0.21202611923217773,,
1,,local,0.02356332167983055,,
1,,##hos,0.008209669962525368,,
1,,##t,0.045752935111522675,,
1,,un,0.10043567419052124,,
1,,reach,0.031063340604305267,,
1,,##able,0.10416953265666962,,
1,22,fatal,0.20440813899040222,product,0.7920855283737183
1,,local,0.02318509668111801,,
1,,##hos,0.013833325356245041,,
1,,##t,0.06617580354213715,,
1,,un,0.11393028497695923,,
1,,reach,0.025064488872885704,,
1,,##able,0.05659128352999687,,
1,,failed,0.21960584819316864,,
1,23,local,0.03806990012526512,product,0.7234129309654236
1,,##hos,0.01450144313275814,,
1,,##t,0.05128487944602966,,
1,,un,0.08254636824131012,,
1,,reach,0.03082582913339138,,
1,,##able,0.03655235469341278,,
1,,failed,0.27557700872421265,,
1,,to,0.23142623901367188,,
1,24,un,0.09744949638843536,product,0.6382831335067749
1,,reach,0.04657147824764252,,
1,,##able,0.04897798225283623,,
1,,failed,0.3085528016090393,,
