processed,target
timestamp [MASK] at play [MASK] cold add [MASK] timestamp task nvdimm [MASK] add remove check new nvdimm device backing [MASK] [MASK] in pmem [MASK] store task path home worker workspace dw existing ansible [MASK] gos [MASK] windows [MASK] [MASK] [MASK] [MASK] cold [MASK] nvdimm test yml number fatal [MASK] failed [MASK] [MASK] [MASK] is not [MASK] the backing vmdk file path of [MASK] [MASK] [MASK],targetvm
[MASK] failed at [MASK] wsl test timestamp [MASK] wsl test execute [MASK] command [MASK] installd ubuntu [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] install text [MASK] path home worker workspace ansible [MASK] [MASK] [MASK] c [MASK] lsi logic sas efi ansible vsphere gos validation windows utilities [MASK] execute command [MASK] number fatal localhost ip address [MASK] [MASK] return code when wsl,targetvm
timestamp [MASK] [MASK] play lsi [MASK] sas v [MASK] [MASK] ops timestamp task lsi logic [MASK] v [MASK] device [MASK] execute powershell [MASK] type v test [MASK] [MASK] [MASK] task [MASK] home worker workspace ansible cycle [MASK] server [MASK] ansible [MASK] gos validation [MASK] utilities win [MASK] [MASK] yml number fatal localhost [MASK] address failed [MASK] return code when type,targetvm
timestamp failed [MASK] play [MASK] cold add [MASK] [MASK] [MASK] nvdimm cold add [MASK] check [MASK] disk [MASK] found [MASK] guest os task path home worker workspace [MASK] existing [MASK] vsphere [MASK] validation [MASK] nvdimm cold add [MASK] cold [MASK] nvdimm [MASK] yml number fatal localhost failed [MASK] specified disk [MASK] [MASK] [MASK] failed with keyword no msft volume [MASK] found in [MASK],targetvm
[MASK] [MASK] at play win [MASK] un install verify timestamp task [MASK] tools un [MASK] verify check no [MASK] device [MASK] task path home worker workspace ansible windows [MASK] main [MASK] efi [MASK] vsphere gos validation windows [MASK] [MASK] un install verify [MASK] tools un install verify [MASK] number [MASK] [MASK] failed [MASK] devices were [MASK] [MASK] the system [MASK] check [MASK] [MASK] devices microsoft pnp utility [MASK] id pci ven dev [MASK] b number sub system hex [MASK] [MASK] [MASK] [MASK] id number device description [MASK] number ethernet adapter class name [MASK] [MASK] guid hex [MASK] manufacturer name [MASK] inc [MASK] [MASK] problem code number [MASK] [MASK] cm [MASK] disabled service driver name [MASK] number [MASK],targetvm
[MASK] [MASK] [MASK] play secure boot [MASK] disable timestamp task [MASK] [MASK] enable disable try to [MASK] ip task path home [MASK] [MASK] ansible centos [MASK] x [MASK] ga sata efi [MASK] vsphere gos [MASK] common vm wait ping [MASK] number [MASK] [MASK] failed nonzero return [MASK] when ping,targetvm
timestamp failed at [MASK] wsl [MASK] [MASK] task wsl test execute [MASK] [MASK] [MASK] installd [MASK] out file file [MASK] [MASK] temp wsl [MASK] text task path [MASK] [MASK] workspace ansible [MASK] server lts c main [MASK] virtual vmxnet number efi ansible vsphere gos validation windows [MASK] [MASK] execute command [MASK] number [MASK] localhost [MASK] address failed [MASK] [MASK] code when wsl,targetvm
[MASK] failed at [MASK] [MASK] test [MASK] task [MASK] [MASK] [MASK] powershell command [MASK] installd ubuntu out file file [MASK] [MASK] temp wsl install [MASK] task path home worker workspace ansible windows number main nvme [MASK] [MASK] vsphere gos [MASK] [MASK] utilities [MASK] execute command [MASK] number fatal localhost ip address failed [MASK] return code [MASK] wsl,targetvm
timestamp failed at [MASK] [MASK] [MASK] [MASK] para virtual vmxnet number timestamp task [MASK] vm efi [MASK] virtual [MASK] number wait for vmware [MASK] [MASK] guest info task [MASK] home worker workspace [MASK] [MASK] oracle linux [MASK] x ansible [MASK] gos validation common vm wait guest [MASK] [MASK] [MASK] [MASK] localhost failed hardware configuration table timestamp task [MASK] vm efi [MASK] virtual [MASK] [MASK] testing exit due to failure [MASK] path home worker workspace [MASK] [MASK] [MASK] linux number [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] test rescue yml number [MASK] localhost failed [MASK] testing when [MASK] testing when fail [MASK] set [MASK] true in test case deploy [MASK] [MASK] para virtual vmxnet number,targetvm
[MASK] failed at [MASK] nvme v [MASK] device ops timestamp task nvme [MASK] hba device ops execute [MASK] command pnpu til disable [MASK] pci ven [MASK] [MASK] [MASK] hex id rev [MASK] [MASK] [MASK] [MASK] task path home worker workspace ansible cycle [MASK] number ansible [MASK] gos validation [MASK] utilities win execute command yml [MASK] fatal [MASK] [MASK] address [MASK] [MASK] return code [MASK] pnpu [MASK],targetvm
[MASK] [MASK] at [MASK] lsi logic sas v [MASK] device ops timestamp [MASK] [MASK] logic sas [MASK] hba [MASK] ops [MASK] powershell command [MASK] [MASK] test disk write text task path home [MASK] workspace [MASK] cycle windows server number ansible vsphere [MASK] validation windows [MASK] win execute command yml number fatal [MASK] ip [MASK] failed [MASK] return [MASK] [MASK] [MASK],targetvm
timestamp [MASK] [MASK] play [MASK] logic sas [MASK] hba device ops timestamp task [MASK] logic sas v [MASK] [MASK] ops [MASK] [MASK] [MASK] [MASK] y test [MASK] write [MASK] task path home worker workspace ansible cycle windows server number ansible [MASK] gos [MASK] windows [MASK] win execute command yml [MASK] fatal [MASK] [MASK] address [MASK] nonzero [MASK] code when type,targetvm
timestamp failed at play lsi [MASK] sas v hba device ops [MASK] task lsi logic [MASK] v hba [MASK] ops execute [MASK] [MASK] [MASK] [MASK] test disk write [MASK] [MASK] path [MASK] worker [MASK] ansible cycle windows [MASK] [MASK] ansible vsphere gos validation windows [MASK] win execute command yml [MASK] [MASK] localhost ip address [MASK] nonzero return [MASK] [MASK] [MASK],targetvm
