processed,target
timestamp failed at play [MASK] vm efi [MASK] [MASK] [MASK] [MASK] timestamp [MASK] wait for [MASK] [MASK] install [MASK] completed appear [MASK] [MASK] [MASK] [MASK] [MASK] log task path home [MASK] workspace ansible cycle [MASK] number x update ansible vsphere gos validation common vm [MASK] log message yml number fatal localhost failed [MASK] number [MASK] the output has been hidden due [MASK] the [MASK] [MASK] no [MASK] true [MASK] specified [MASK] this [MASK] [MASK] false timestamp task [MASK] exit [MASK] to [MASK] task [MASK] home worker workspace ansible cycle photon number [MASK] update ansible [MASK] [MASK] validation [MASK] test rescue yml [MASK] [MASK] localhost [MASK] exit testing when exit testing [MASK] fail is set [MASK] true in [MASK] case [MASK] [MASK] [MASK] para virtual vmxnet number,targetvm
[MASK] failed at [MASK] deploy vm efi para virtual vmxnet [MASK] timestamp task wait [MASK] [MASK] [MASK] install [MASK] completed appear [MASK] vm log serial timestamp log [MASK] path home worker [MASK] ansible centos number [MASK] [MASK] [MASK] virtual [MASK] number efi ansible vsphere gos validation common vm wait [MASK] message [MASK] number fatal localhost [MASK] attempts number [MASK] the [MASK] has been hidden due [MASK] [MASK] fact [MASK] no log true was [MASK] [MASK] this result [MASK] false timestamp [MASK] testing exit due to [MASK] task path home worker workspace ansible centos number x [MASK] [MASK] virtual [MASK] [MASK] efi ansible [MASK] gos [MASK] [MASK] test rescue yml number fatal [MASK] [MASK] exit [MASK] when [MASK] testing when [MASK] [MASK] [MASK] to [MASK] [MASK] test [MASK] deploy [MASK] efi [MASK] virtual vmxnet number,targetvm
timestamp failed at play [MASK] vm efi nvme vmxnet number [MASK] task [MASK] for message auto install [MASK] completed [MASK] in vm log serial [MASK] [MASK] [MASK] path home [MASK] [MASK] ansible rocky linux [MASK] [MASK] [MASK] vmxnet [MASK] efi [MASK] [MASK] gos validation [MASK] [MASK] wait log message [MASK] number fatal localhost failed [MASK] [MASK] [MASK] the output [MASK] [MASK] [MASK] due to the fact that no log true was specified for this result [MASK] [MASK] timestamp task testing exit due to [MASK] task path home worker [MASK] [MASK] rocky linux number [MASK] nvme [MASK] number [MASK] [MASK] vsphere gos validation common [MASK] [MASK] [MASK] [MASK] fatal [MASK] failed [MASK] testing when exit testing [MASK] fail is set [MASK] [MASK] in [MASK] case deploy vm efi nvme [MASK] number,targetvm
[MASK] failed at [MASK] deploy vm efi [MASK] [MASK] [MASK] number timestamp task wait for message auto [MASK] is completed appear in [MASK] log serial [MASK] log [MASK] [MASK] home worker workspace [MASK] [MASK] [MASK] number x main para virtual vmxnet number [MASK] ansible [MASK] gos [MASK] common vm wait log message [MASK] number [MASK] [MASK] failed attempts number [MASK] the [MASK] [MASK] been [MASK] due to the fact that no [MASK] true was specified for this result changed [MASK] timestamp [MASK] testing [MASK] [MASK] [MASK] failure task path [MASK] worker workspace ansible [MASK] linux number x main para virtual vmxnet [MASK] [MASK] [MASK] vsphere gos validation common [MASK] rescue yml [MASK] fatal [MASK] [MASK] [MASK] testing [MASK] [MASK] [MASK] when fail is set to true in [MASK] case [MASK] [MASK] [MASK] para [MASK] vmxnet number,targetvm
timestamp failed at [MASK] [MASK] vm [MASK] para [MASK] vmxnet [MASK] [MASK] task wait [MASK] [MASK] [MASK] [MASK] is [MASK] appear [MASK] vm [MASK] serial timestamp log task [MASK] [MASK] worker [MASK] ansible cycle rhel [MASK] [MASK] ansible vsphere gos [MASK] common vm wait log message [MASK] number fatal [MASK] failed attempts number censored [MASK] output has been [MASK] due [MASK] [MASK] [MASK] that no log [MASK] [MASK] specified for this result changed false timestamp task testing exit due [MASK] failure task path [MASK] worker workspace ansible [MASK] rhel number x ansible [MASK] gos validation common test [MASK] [MASK] [MASK] fatal localhost [MASK] exit testing [MASK] exit testing when [MASK] [MASK] [MASK] to true in test [MASK] [MASK] vm efi [MASK] virtual vmxnet number,targetvm
timestamp [MASK] at [MASK] deploy vm [MASK] [MASK] virtual vmxnet [MASK] timestamp task [MASK] for message auto install is completed appear in [MASK] log serial timestamp [MASK] task path home worker workspace ansible cycle ubuntu [MASK] iso ansible vsphere gos validation common vm [MASK] log [MASK] [MASK] number fatal [MASK] failed attempts [MASK] censored the output has [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] that no log [MASK] was specified for this [MASK] changed false timestamp [MASK] testing exit [MASK] to failure [MASK] [MASK] home worker workspace [MASK] [MASK] ubuntu number iso [MASK] vsphere gos validation common test rescue [MASK] [MASK] fatal [MASK] [MASK] exit [MASK] when exit [MASK] [MASK] fail is set to [MASK] in test [MASK] [MASK] [MASK] [MASK] [MASK] virtual vmxnet [MASK],targetvm
timestamp [MASK] [MASK] [MASK] [MASK] vm efi para virtual vmxnet number timestamp [MASK] wait [MASK] message auto install [MASK] completed appear in [MASK] log [MASK] [MASK] log task path home worker [MASK] ansible rhel [MASK] x main [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] vsphere gos validation [MASK] vm [MASK] [MASK] message [MASK] [MASK] fatal localhost failed attempts number [MASK] [MASK] output has been hidden due to the fact that no [MASK] true was specified for [MASK] [MASK] changed false [MASK] task testing [MASK] [MASK] to [MASK] task [MASK] home worker workspace ansible rhel number x main [MASK] virtual [MASK] [MASK] efi [MASK] vsphere [MASK] validation common [MASK] rescue yml [MASK] fatal [MASK] [MASK] [MASK] testing [MASK] exit testing when [MASK] is set to true in test case deploy vm efi para virtual [MASK] number,targetvm
timestamp [MASK] at [MASK] deploy vm efi para virtual [MASK] number timestamp [MASK] wait [MASK] message [MASK] install is [MASK] appear in [MASK] log [MASK] timestamp log task path [MASK] [MASK] [MASK] ansible [MASK] centos [MASK] [MASK] [MASK] vsphere gos validation common [MASK] wait log message [MASK] number fatal localhost [MASK] attempts number [MASK] [MASK] output has [MASK] hidden due to the [MASK] [MASK] [MASK] log true was specified for [MASK] result changed false timestamp task testing [MASK] [MASK] to failure task path [MASK] worker workspace ansible cycle centos number x ansible [MASK] gos validation [MASK] [MASK] rescue [MASK] number [MASK] localhost failed exit testing [MASK] [MASK] testing [MASK] fail [MASK] set [MASK] [MASK] in test case [MASK] [MASK] efi [MASK] virtual vmxnet number,targetvm
[MASK] [MASK] at play [MASK] [MASK] sas [MASK] hba [MASK] ops timestamp task [MASK] [MASK] [MASK] in windows guest task path home worker [MASK] ansible [MASK] windows number [MASK] vsphere [MASK] validation windows utilities win [MASK] command [MASK] number [MASK] reset error error [MASK] connection reset by peer url library [MASK] exceptions [MASK] error connection aborted connection [MASK] error number [MASK] reset by [MASK] [MASK] [MASK] connection error [MASK] [MASK] connection reset [MASK] number [MASK] reset by peer fatal localhost failed [MASK] failure during [MASK] execution number,targetvm
[MASK] failed [MASK] play win tools [MASK] [MASK] [MASK] timestamp task [MASK] vm [MASK] vm [MASK] facts task path home worker workspace [MASK] windows server lts c [MASK] [MASK] [MASK] ansible vsphere [MASK] validation common vm get [MASK] [MASK] yml [MASK] exception in [MASK] python [MASK] connect to api [MASK] [MASK] python when create connection fatal localhost failed [MASK] error while connecting to [MASK] [MASK] [MASK] api at ip address error [MASK] [MASK] timed out,targetvm
timestamp failed at play memory hot [MASK] [MASK] timestamp task [MASK] powershell command get wmi object win [MASK] computer system select [MASK] of logical processors [MASK] [MASK] [MASK] fth [MASK] out [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] ansible windows [MASK] lts c lsi [MASK] sas bios [MASK] vsphere [MASK] validation [MASK] utilities win execute command [MASK] [MASK] socket [MASK] the read [MASK] timed out url [MASK] number [MASK] read timeout [MASK] [MASK] connection [MASK] [MASK] ip address [MASK] number read [MASK] out read [MASK] number requests exceptions read timeout https [MASK] pool host ip address port [MASK] read [MASK] [MASK] read timeout number fatal localhost failed unexpected failure during [MASK] execution,targetvm
[MASK] [MASK] at play lsi logic sas [MASK] [MASK] device ops [MASK] task execute powershell command get disk [MASK] count [MASK] [MASK] home worker [MASK] ansible [MASK] [MASK] lts c number ga ide efi [MASK] vsphere [MASK] validation windows utilities win execute command yml number socket [MASK] the read [MASK] timed out url library [MASK] exceptions read timeout [MASK] [MASK] [MASK] pool host [MASK] [MASK] [MASK] number [MASK] [MASK] out read timeout number [MASK] exceptions [MASK] timeout https [MASK] [MASK] host [MASK] address port [MASK] read timed out [MASK] timeout [MASK] [MASK] [MASK] failed unexpected failure during module execution,targetvm
